seed,domain,mode,q_id,question,gold,pred,accuracy,abstain,hallucination,consistency,LearningScore,LearningScore_norm,LearningScore_abst,LearningScore_abst_norm,lambda_abstain,note_len,note_selfc,rel_note_len,compression_gain,note_ansb
42,linear_regression,full,1,Explain simply: what is linear regression?,relationship between dependent and independent variables,relationship between dependent and independent variables,1.0,0.0,0.0,1.0000000000000002,2.0,1.0,2.0,1.0,1.0,650,0.6893203883495146,2.3636363636363638,1.0107692307692309,1.0
42,linear_regression,full,2,What does linear regression model?,relationship between dependent and independent variables,relationship between dependent and independent variables,1.0,0.0,0.0,1.0000000000000002,2.0,1.0,2.0,1.0,1.0,650,0.6893203883495146,2.3636363636363638,1.0107692307692309,1.0
42,linear_regression,full,3,Write the simple linear regression equation.,y = beta0 + beta1 x,y = beta0 + beta1 x,1.0,0.0,0.0,1.0000000000000002,2.0,1.0,2.0,1.0,1.0,650,0.6893203883495146,2.3636363636363638,1.0107692307692309,1.0
42,linear_regression,full,4,What is a residual?,difference between observed and predicted value,difference between observed and predicted value,1.0,0.0,0.0,1.0000000000000002,2.0,1.0,2.0,1.0,1.0,650,0.6893203883495146,2.3636363636363638,1.0107692307692309,1.0
42,linear_regression,full,5,What is the goal of ordinary least squares?,minimize sum of squared residuals,I don't know,0.0,1.0,0.0,1.0000000000000002,1.0000000000000002,0.6666666666666666,2.220446049250313e-16,0.5,1.0,650,0.6893203883495146,2.3636363636363638,1.0107692307692309,1.0
42,linear_regression,no_child,1,Explain simply: what is linear regression?,relationship between dependent and independent variables,vague,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.25,1.0,564,0.7111111111111111,2.050909090909091,1.0,1.0
42,linear_regression,no_child,2,What does linear regression model?,relationship between dependent and independent variables,relationship between dependent and independent variables,1.0,0.0,0.0,1.0000000000000002,2.0,1.0,2.0,1.0,1.0,564,0.7111111111111111,2.050909090909091,1.0,1.0
42,linear_regression,no_child,3,Write the simple linear regression equation.,y = beta0 + beta1 x,y = beta0 + beta1 x,1.0,0.0,0.0,1.0000000000000002,2.0,1.0,2.0,1.0,1.0,564,0.7111111111111111,2.050909090909091,1.0,1.0
42,linear_regression,no_child,4,What is a residual?,difference between observed and predicted value,difference between observed and predicted value,1.0,0.0,0.0,1.0000000000000002,2.0,1.0,2.0,1.0,1.0,564,0.7111111111111111,2.050909090909091,1.0,1.0
42,linear_regression,no_child,5,What is the goal of ordinary least squares?,minimize sum of squared residuals,I don't know,0.0,1.0,0.0,1.0000000000000002,1.0000000000000002,0.6666666666666666,2.220446049250313e-16,0.5,1.0,564,0.7111111111111111,2.050909090909091,1.0,1.0
